country,region,subregion,indicator,dimension,category,sex,year,unit_of_measurement,value,source,porcentaje
Mongolia,Asia,Eastern Asia,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2020,"Rate per 100,000 population",0.422134057,CTS,0.0004
Oman,Asia,Western Asia,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2020,"Rate per 100,000 population",0.116102621,CTS,0.0001
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2020,"Rate per 100,000 population",0.364154898,CTS,0.0004
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2020,"Rate per 100,000 population",0.189637451,CTS,0.0002
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",6.13554884,CTS,0.0061
Belize,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",4.024134748,CTS,0.004
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.083043718,CTS,0.0001
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",2.860118929,CTS,0.0029
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.6168021,CTS,0.0006
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",6.505044127,CTS,0.0065
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",25.69899905,CTS,0.0257
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",,NGO/CTS,
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.941556863,CTS,0.0009
Guyana,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",89.06593921,CTS,0.0891
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.912020283,CTS,0.0009
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",12.19933717,CTS,0.0122
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.06761723,CTS,0.0001
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",2.48528463,CTS,0.0025
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",6.257613745,CTS,0.0063
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.302345353,CTS,0.0003
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2021,"Rate per 100,000 population",0.094855331,CTS,0.0001
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",5.244127349,CTS,0.0052
Belize,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.496215119,CTS,0.0005
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.098397006,CTS,0.0001
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",2.962157201,CTS,0.003
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.70453953,CTS,0.0007
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",7.042896309,CTS,0.007
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",30.34081371,CTS,0.0303
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",,NGO/CTS,
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",1.134040844,CTS,0.0011
Guyana,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",146.0955775,CTS,0.1461
Honduras,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",1.568094352,CTS,0.0016
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.967437271,CTS,0.001
Ireland,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",17.91903202,CTS,0.0179
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",36.51634106,CTS,0.0365
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.068568506,CTS,0.0001
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",2.318007441,CTS,0.0023
Morocco,Africa,Northern Africa,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",11.04506022,CTS,0.011
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",1.514335559,CTS,0.0015
Myanmar,Asia,South-eastern Asia,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",1.385176891,CTS,0.0014
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.240974271,CTS,0.0002
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Other Perpetrator known to the victim,Female,2022,"Rate per 100,000 population",0.379424025,CTS,0.0004
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",58.12798138,CTS,0.0581
Bahamas,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",64.52062466,CTS,0.0645
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",0.084510908,CTS,0.0001
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",11.79648758,CTS,0.0118
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",4.843393799,CTS,0.0048
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",143.8367885,CTS,0.1438
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",13.70511096,NGO/CTS,0.0137
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",50.92858752,CTS,0.0509
Greece,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",0.019296969,CTS,0.0
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",4.184308842,CTS,0.0042
Kyrgyzstan,Asia,Central Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",1.127200739,CTS,0.0011
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",99.35419771,CTS,0.0994
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",2.327528278,CTS,0.0023
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",4.296205264,CTS,0.0043
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",50.14608522,CTS,0.0501
Mongolia,Asia,Eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",6.101756123,CTS,0.0061
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",88.25281809,CTS,0.0883
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",40.55481998,CTS,0.0406
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",4.725576331,CTS,0.0047
Sweden,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2019,"Rate per 100,000 population",44.33154651,CTS,0.0443
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",55.7399611,CTS,0.0557
Bahamas,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",32.90386929,CTS,0.0329
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",0.01668815,CTS,0.0
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",9.098856285,CTS,0.0091
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",4.829672387,CTS,0.0048
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",0.134940149,CTS,0.0001
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",132.6264753,CTS,0.1326
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",12.82681698,NGO/CTS,0.0128
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",39.31893081,CTS,0.0393
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",5.266708633,CTS,0.0053
Kyrgyzstan,Asia,Central Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",0.982541817,CTS,0.001
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",91.01941748,CTS,0.091
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",1.513776501,CTS,0.0015
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",4.674442202,CTS,0.0047
Morocco,Africa,Northern Africa,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",24.07583542,CTS,0.0241
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",10.78466456,CTS,0.0108
Myanmar,Asia,South-eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",0.420954894,CTS,0.0004
Mongolia,Asia,Eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",6.417720242,CTS,0.0064
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",74.49712771,CTS,0.0745
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",33.58763615,CTS,0.0336
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",4.609608494,CTS,0.0046
Sweden,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2020,"Rate per 100,000 population",43.74361833,CTS,0.0437
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",57.95799742,CTS,0.058
Belize,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",0.993885122,CTS,0.001
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",0.115539254,CTS,0.0001
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",10.22679001,CTS,0.0102
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",5.771918804,CTS,0.0058
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",0.019318337,CTS,0.0
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",114.9123058,CTS,0.1149
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",16.96456466,NGO/CTS,0.017
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",50.56780712,CTS,0.0506
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",4.45152867,CTS,0.0045
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",99.93482511,CTS,0.0999
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",2.064633742,CTS,0.0021
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",4.147474994,CTS,0.0041
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",27.04339543,CTS,0.027
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",83.08133989,CTS,0.0831
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",28.94861996,CTS,0.0289
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",4.318547316,CTS,0.0043
Sweden,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2021,"Rate per 100,000 population",39.14641099,CTS,0.0391
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",67.4814886,CTS,0.0675
Belize,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",1.96321909,CTS,0.002
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",0.032645794,CTS,0.0
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",11.58013265,CTS,0.0116
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",6.289692162,CTS,0.0063
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",,CTS,
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",146.1361306,CTS,0.1461
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",20.00262146,NGO/CTS,0.02
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",65.85421584,CTS,0.0659
Honduras,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",,CTS,
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",4.890374114,CTS,0.0049
Ireland,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",44.46694794,CTS,0.0445
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",108.6436921,CTS,0.1086
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",2.477433101,CTS,0.0025
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",3.494794794,CTS,0.0035
Morocco,Africa,Northern Africa,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",0.461480489,CTS,0.0005
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",49.26926991,CTS,0.0493
Myanmar,Asia,South-eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",0.278163441,CTS,0.0003
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",69.18532867,CTS,0.0692
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",32.74657253,CTS,0.0327
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",3.566017542,CTS,0.0036
Sweden,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Male,2022,"Rate per 100,000 population",37.33578602,CTS,0.0373
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",8.931753425,CTS,0.0089
Bahamas,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",20.39649844,CTS,0.0204
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.085310853,CTS,0.0001
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",1.578269203,CTS,0.0016
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.532115114,CTS,0.0005
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",29.58843821,CTS,0.0296
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.739443702,NGO/CTS,0.0007
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",9.209921878,CTS,0.0092
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.376958062,CTS,0.0004
Kyrgyzstan,Asia,Central Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.031069341,CTS,0.0
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",12.21398909,CTS,0.0122
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.263643901,CTS,0.0003
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.581364929,CTS,0.0006
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",36.62864247,CTS,0.0366
Mongolia,Asia,Eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.122975894,CTS,0.0001
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",78.07939887,CTS,0.0781
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",10.39105481,CTS,0.0104
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",0.47401003,CTS,0.0005
Sweden,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2019,"Rate per 100,000 population",7.757775603,CTS,0.0078
Austria,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",9.856514781,CTS,0.0099
Bahamas,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",11.7943722,CTS,0.0118
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.151416068,CTS,0.0002
Canada,Americas,Northern America,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",1.164610753,CTS,0.0012
Switzerland,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.574368155,CTS,0.0006
Czechia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.018714434,CTS,0.0
Germany,Europe,Western Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",27.76361894,CTS,0.0278
Dominican Republic,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.63959861,NGO/CTS,0.0006
Spain,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",7.569022822,CTS,0.0076
Greece,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.018652384,CTS,0.0
Croatia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.285277539,CTS,0.0003
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",8.139842494,CTS,0.0081
Lithuania,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.200124344,CTS,0.0002
Latvia,Europe,Northern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.882403117,CTS,0.0009
Morocco,Africa,Northern Africa,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",6.91233512,CTS,0.0069
Mexico,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",6.517535376,CTS,0.0065
Mongolia,Asia,Eastern Asia,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.060304865,CTS,0.0001
El Salvador,Americas,Latin America and the Caribbean,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",63.93953087,CTS,0.0639
Slovakia,Europe,Eastern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",8.488508279,CTS,0.0085
Slovenia,Europe,Southern Europe,Victims of serious assault,by relationship to perpetrator,Perpetrator unknown to the victim,Female,2020,"Rate per 100,000 population",0.189637451,CTS,0.0002
